item1,item2,value1,value2,value3,value4,value5,value6,value7
108年 6月,彰化縣,29.5,8,22.8,2.67,0.23,6.99,40.34
108年 6月,苗栗縣,26.3,7.2,14.5,2.35,0.21,6.3,41.36
108年 6月,新竹縣,26.4,8.5,24.9,1.9,0.22,7.42,49.98
108年 6月,宜蘭縣,29.5,8.7,22.2,2.16,0.23,6.06,45.02
108年 6月,高雄市,28.2,6.7,20.1,2.91,0.24,8.79,36.44
108年 6月,臺南市,27.1,7.2,23.4,2.11,0.24,7.56,40.94
108年 6月,臺中市,26.2,7.8,17.3,2.13,0.29,10.2,44.31
108年 6月,桃園市,39.7,10.7,23.3,3.07,0.3,12.62,48.86
108年 6月,臺北市,29,8.8,26.5,2.09,0.46,17.58,52.26
108年 6月,新北市,37.1,10.9,25.1,2.46,0.36,13.36,53.77
108年 6月,總計,29,8.4,22,2.29,0.28,9.81,44.81
108年 5月,連江縣,    ...,19.9,46.3,2.1,0.23,6.8,74.29
108年 5月,金門縣,154.7,20.4,51.1,3.59,0.26,9.23,64.29
108年 5月,嘉義市,46.9,22.1,39.3,2.3,0.38,12.19,54.52
108年 5月,新竹市,36.1,15.1,37,2.19,0.35,12.03,59.5
108年 5月,基隆市,46,11.8,28.8,1.54,0.29,9.03,58.02
108年 5月,澎湖縣,72.4,12.7,34.5,1.57,0.2,    ...,61.3
108年 5月,花蓮縣,26.6,9.4,25.6,1.46,0.27,6.55,51.55
108年 5月,臺東縣,15.9,8.6,19.2,1.09,0.3,4.75,32.59
108年 5月,屏東縣,29,11.6,29.2,1.67,0.27,6.04,61.41
108年 5月,嘉義縣,55,19.7,42.6,2.29,0.32,8.17,52.91
108年 5月,雲林縣,48.2,23,40.3,2.39,0.32,9.81,59.64
108年 5月,南投縣,19.5,18.6,38.6,2.2,0.38,11.44,47.82
108年 5月,彰化縣,47.9,18.8,43.4,2.95,0.36,10.74,51.84
108年 5月,苗栗縣,37.4,14.8,28.5,2.26,0.32,9.37,49.06
108年 5月,新竹縣,40.3,13.6,33.6,1.9,0.29,8.81,58.96
108年 5月,宜蘭縣,30.1,10.6,30.4,1.92,0.26,5.87,51.52
108年 5月,高雄市,64.2,15.5,37.2,2.79,0.36,11.22,60.47
108年 5月,臺南市,39.6,21.4,45.7,2.35,0.36,10.08,59.19
108年 5月,臺中市,51.6,14.6,32.2,2.31,0.39,14.19,55.2
108年 5月,桃園市,26.2,13.9,31.7,3.09,0.36,14.44,55.35
108年 5月,臺北市,29.1,11.4,32,1.94,0.42,17.2,56.76
108年 5月,新北市,50.1,13.9,29.8,2.26,0.36,12.81,57.99
108年 5月,總計,45.9,15.1,34.7,2.31,0.34,11.31,56.79
108年 4月,連江縣,    ...,20.9,44.4,2.3,0.32,8.75,69.73
108年 4月,金門縣,45.8,22.1,43.9,2.91,0.32,10.67,58.29
108年 4月,嘉義市,57.8,23,44.4,2.43,0.38,11.85,60.01
108年 4月,新竹市,49.4,16.6,40.4,2.19,0.4,12.22,60.37
108年 4月,基隆市,48.2,16.8,32.1,1.95,0.38,12.38,64.78
108年 4月,澎湖縣,51,15.1,30.1,1.88,0.27,    ...,61.88
108年 4月,花蓮縣,42.4,12,23.9,1.53,0.3,6.11,53.95
108年 4月,臺東縣,31,10.9,19.9,1.2,0.34,4.61,33.56
108年 4月,屏東縣,57.5,15.6,37,1.94,0.3,7.15,67
108年 4月,嘉義縣,37.9,20.9,46.3,2.53,0.33,8.85,52.79
108年 4月,雲林縣,42.7,25,43.6,2.38,0.33,9.78,62.88
108年 4月,南投縣,50.9,22.1,45.2,2.04,0.36,11.82,56.15
108年 4月,彰化縣,49.4,20.6,44.4,3,0.37,10.58,52.64
108年 4月,苗栗縣,32.8,17.7,31.7,2.44,0.33,9.69,52.97
108年 4月,新竹縣,38.6,16.6,35.7,2.08,0.32,9.4,63.02
108年 4月,宜蘭縣,34.8,14,28.4,1.71,0.3,5.69,54.06
108年 4月,高雄市,62.1,19.8,42.2,2.94,0.37,11.94,60.98
108年 4月,臺南市,53.1,21.3,48.7,2.43,0.35,10.61,60.15
108年 4月,臺中市,44.4,20.1,35.2,2.18,0.41,13.55,61.11
108年 4月,桃園市,50.8,18.7,37.8,3.39,0.4,14.87,59.47
108年 4月,臺北市,47.1,16.1,38.8,2.47,0.55,20.41,67.56
108年 4月,新北市,45,19.5,35.1,2.73,0.45,15.31,66.69
108年 4月,總計,47.5,18.4,38.5,2.49,0.39,12.28,61.04
108年 3月,連江縣,    ...,28.5,45.3,2.23,0.34,7.04,67.56
108年 3月,金門縣,135.7,32.5,54.2,3.38,0.4,12.32,60.38
108年 3月,嘉義市,83,31.3,56.5,3.08,0.5,16.6,58.27
108年 3月,新竹市,37.2,21.3,44.4,2,0.44,15.2,60.03
108年 3月,基隆市,30.8,18.3,36,1.51,0.38,11.02,61.4
108年 3月,澎湖縣,    ...,16.9,32.9,1.21,0.29,    ...,48.78
108年 3月,花蓮縣,20.1,13.2,27.1,1.43,0.36,7.67,54.49
108年 3月,臺東縣,48.4,10.2,22.4,1.07,0.37,5.11,36.25
108年 3月,屏東縣,84.2,17.5,43.3,1.86,0.34,8.89,66.68
108年 3月,嘉義縣,40.5,29.8,57,2.5,0.41,10.94,58.31
108年 3月,雲林縣,35.9,33.6,52.4,2.62,0.41,12.53,64.52
108年 3月,南投縣,45.3,28.2,53,2.14,0.46,15.3,55.19
108年 3月,彰化縣,94.5,27.3,54.1,2.97,0.47,13.83,55.4
108年 3月,苗栗縣,49.3,21.6,37.4,2.42,0.41,12.65,54.79
108年 3月,新竹縣,42.5,17.8,39.2,1.9,0.4,11.12,59.89
108年 3月,宜蘭縣,50.9,16.3,32.1,1.68,0.35,7.7,57.75
108年 3月,高雄市,66.9,23.9,50.9,2.91,0.44,15.87,63.09
108年 3月,臺南市,58.9,28.3,58.2,2.5,0.44,14.16,60.03
108年 3月,臺中市,42.8,24.2,42.8,2.18,0.48,17.24,61.36
108年 3月,桃園市,38.5,20.3,40.7,2.93,0.44,16.06,58.04
108年 3月,臺北市,42.4,14.8,39.8,2.03,0.53,20.34,58.08
108年 3月,新北市,47.1,18.8,36.7,2.1,0.45,15.23,60.16
108年 3月,總計,52.6,21.9,44.1,2.31,0.44,14.28,59.58
108年 2月,連江縣,    ...,19.6,36.1,1.86,0.37,4.67,50.46
108年 2月,金門縣,40.8,28.8,43.3,2.38,0.44,9.01,47.06
108年 2月,嘉義市,82.8,37.7,60.9,3.13,0.52,16.52,59.69
108年 2月,新竹市,24.8,21.3,40.6,1.8,0.46,13.7,43.12
108年 2月,基隆市,28.8,11,29.9,1.43,0.38,9.87,48.55
108年 2月,澎湖縣,    ...,17.4,30.1,1.17,0.33,6.85,36.64
108年 2月,花蓮縣,20.9,8.9,20.5,1.45,0.36,7.57,47.28
108年 2月,臺東縣,36,7,16.7,1.2,0.37,4.89,29.92
108年 2月,屏東縣,104.3,19.2,44,1.81,0.34,8.53,63.26
108年 2月,嘉義縣,85.5,27.9,64.2,2.49,0.42,10.64,53.72
108年 2月,雲林縣,53.7,37.1,56.9,2.57,0.43,12.78,61.59
108年 2月,南投縣,52.8,29.1,58,2.11,0.48,15.57,58.25
108年 2月,彰化縣,44.7,26.3,54.7,2.96,0.48,13.61,47.45
108年 2月,苗栗縣,31.3,21.4,36,2.16,0.41,11.31,42.63
108年 2月,新竹縣,28.3,19,36.2,1.76,0.38,9.81,44.33
108年 2月,宜蘭縣,30.1,8.1,24.2,1.44,0.34,5.5,46.95
108年 2月,高雄市,77,30.9,56.7,2.97,0.45,14.84,65.88
108年 2月,臺南市,77.9,31.5,63.4,2.49,0.44,13.04,60.38
108年 2月,臺中市,61,23.1,40.3,1.88,0.46,15.16,51.21
108年 2月,桃園市,46.9,18.2,36.5,2.7,0.45,14.81,46.53
108年 2月,臺北市,25.1,9.6,30.7,1.86,0.51,17.9,46.72
108年 2月,新北市,22.4,12.6,29.4,1.9,0.44,13.29,48.71
108年 2月,總計,50.9,20.7,42.4,2.19,0.44,12.87,52.42
108年 1月,連江縣,    ...,31.4,50,2.29,0.39,8.1,52.15
108年 1月,金門縣,67.3,33.6,57,3.64,0.47,13.18,52.79
108年 1月,嘉義市,80.7,37.2,70.3,3.27,0.57,20.91,57.11
108年 1月,新竹市,57.8,18.4,41.9,2.15,0.47,15.54,42.87
108年 1月,基隆市,31.7,12.3,30.1,1.53,0.4,11.3,47.99
108年 1月,澎湖縣,    ...,17.9,35.8,1.28,0.33,7.06,39.96
108年 1月,花蓮縣,33.3,8.4,22.3,1.35,0.36,7.98,48.43
108年 1月,臺東縣,22.5,7.1,15.5,1.11,0.38,5.61,32.41
108年 1月,屏東縣,94.5,24.5,57.6,2.03,0.42,11.65,67.65
108年 1月,嘉義縣,74.5,31.8,74.3,2.6,0.42,11.9,53.41
108年 1月,雲林縣,65.7,34.2,63.5,2.73,0.44,15.29,56.23
108年 1月,南投縣,36.7,24.1,55.5,2.28,0.5,18.26,54.44
108年 1月,彰化縣,45.3,24.7,59.5,2.97,0.49,15.71,45.48
108年 1月,苗栗縣,57,18.4,35.8,2.52,0.42,13.23,43.24
108年 1月,新竹縣,30.2,13.6,34.3,2.02,0.38,11.05,44.95
108年 1月,宜蘭縣,31.9,9.6,23.8,1.62,0.36,7.49,47.53
108年 1月,高雄市,103.1,37.1,76.5,3.44,0.57,21.04,67.38
108年 1月,臺南市,90.6,36.1,77.7,2.7,0.48,16.5,58.8
108年 1月,臺中市,36.2,19.9,41.1,2.04,0.48,17.35,49.2
108年 1月,桃園市,62,15.9,35.4,3.1,0.46,16.42,45.17
108年 1月,臺北市,44.9,10.3,32.5,1.94,0.53,19.7,45.17
108年 1月,新北市,41.8,13.6,31.1,2.13,0.47,15.37,46.82
108年 1月,總計,60.8,21.5,48.4,2.43,0.47,15.57,51.92
108年,連江縣,    ...,19.7,38.7,2.1,0.25,5.93,62.27
108年,金門縣,66.4,22.5,46.2,3.03,0.29,9.53,59.4
108年,嘉義市,51.8,22.9,44.3,2.53,0.39,13.14,58.71
108年,新竹市,38,15.6,33.6,2.04,0.35,11.85,52.74
108年,基隆市,41.1,12.5,29.1,1.67,0.32,9.51,51.8
108年,澎湖縣,45.3,13.8,30.7,1.74,0.23,    ...,51.24
108年,花蓮縣,27.3,9.4,22.2,1.36,0.26,6.08,46.11
108年,臺東縣,29.3,8.5,20.3,1.23,0.3,4.58,35.48
108年,屏東縣,60.3,15,36.6,1.79,0.28,7.18,61.79
108年,嘉義縣,49.9,20.4,48.5,2.35,0.31,8.98,56.02
108年,雲林縣,47.9,23.9,45.1,2.32,0.32,10.28,60.77
108年,南投縣,33.1,19.8,40.8,2.08,0.36,12.09,58.91
108年,彰化縣,46.2,19.1,41.9,2.91,0.35,10.85,51.38
108年,苗栗縣,35.8,15.6,28.5,2.25,0.3,9.13,48.9
108年,新竹縣,33.8,13.4,30.2,1.88,0.28,8.52,54.55
108年,宜蘭縣,34.1,10.6,25,1.77,0.27,6.14,46.75
108年,高雄市,56.9,20.5,45.6,2.99,0.37,13.25,60.59
108年,臺南市,48.1,21.4,48.7,2.38,0.35,11.18,59.13
108年,臺中市,44.9,17.2,33.2,2.16,0.37,13.15,56.31
108年,桃園市,38.3,15.1,30.4,3.04,0.36,13.45,51.22
108年,臺北市,30.2,11.2,28.7,1.97,0.43,16.74,51.08
108年,新北市,35.6,13.9,28.7,2.19,0.37,12.74,52.62
108年,總計,43.1,16.2,35.7,2.3,0.35,11.57,54.91
107年 12月,連江縣,    ...,18.2,40.5,2.36,0.3,6.42,44.81
107年 12月,金門縣,84.7,25.2,51.1,4.13,0.37,13.69,47.13
107年 12月,嘉義市,94.8,28.8,55.8,3.21,0.46,19.06,58.77
107年 12月,新竹市,29.6,18.5,36.6,2.05,0.39,13.32,42.79
107年 12月,基隆市,36.1,9.6,26.8,1.81,0.32,9.46,44.88
107年 12月,澎湖縣,129.6,13.4,30.5,1.37,0.23,2.97,54.63
107年 12月,花蓮縣,21.9,6.5,21.6,1.52,0.29,6.94,42.68
107年 12月,臺東縣,36.4,6,17,1.24,0.31,4.94,30.61
107年 12月,屏東縣,118.5,20.7,55.4,2.39,0.37,11.23,71.86
107年 12月,嘉義縣,81.1,24.5,68,2.9,0.35,11.93,52.13
107年 12月,雲林縣,59.6,27.9,59.6,2.74,0.36,13.4,56.52
107年 12月,南投縣,40.6,22.6,47.2,2.26,0.44,16.45,60.64
107年 12月,彰化縣,69.9,21.7,49.8,2.93,0.41,13.92,46
107年 12月,苗栗縣,57.1,17.9,29.5,2.32,0.34,10.86,45.15
107年 12月,新竹縣,42.9,13.5,29.5,2.02,0.32,9.75,45.96
107年 12月,宜蘭縣,30.6,7.5,20.6,1.8,0.29,6.45,43.05
107年 12月,高雄市,108.5,29.6,70.9,3.99,0.49,19.89,72.96
107年 12月,臺南市,73.9,27.4,69.2,2.87,0.41,15.65,56.25
107年 12月,臺中市,55.1,20.7,34.2,2.11,0.4,15.01,50.36
107年 12月,桃園市,29.1,17.7,31.3,3.55,0.41,15.87,47.02
107年 12月,臺北市,44.8,8.4,25.1,2.14,0.45,18.5,44.04
107年 12月,新北市,27.1,11.9,27,2.19,0.41,14.43,46.52
107年 12月,總計,62,18.1,42.7,2.62,0.4,14.31,52.8
107年 11月,連江縣,    ...,15,37.8,2.73,0.28,4.22,50.28
107年 11月,金門縣,62.5,20.3,46.3,3.69,0.32,10.24,56.6
107年 11月,嘉義市,61.5,33,67.8,4.15,0.47,19.42,64.75
107年 11月,新竹市,21.7,17.7,35.8,2.09,0.38,    ...,46.83
107年 11月,基隆市,43.5,9.1,24,2.21,0.29,9.64,47.58
107年 11月,澎湖縣,64.1,12,29.4,1.45,0.21,2.52,57.58
107年 11月,花蓮縣,23.3,7.1,21.7,1.55,0.27,7.33,41.22
107年 11月,臺東縣,32.8,5.8,17.2,1.16,0.28,4.98,31
107年 11月,屏東縣,93.7,19.1,48.3,2.51,0.33,9.55,68.99
107年 11月,嘉義縣,105.2,25.5,67.8,3.03,0.35,11.72,61.88
107年 11月,雲林縣,87.7,33,61.4,3.05,0.37,13.59,64.99
107年 11月,南投縣,48,24.4,55.3,2.45,0.44,16.53,66.79
107年 11月,彰化縣,37.7,18,51.8,3.39,0.43,14.87,57.8
107年 11月,苗栗縣,52.4,16.6,38.8,2.49,0.34,11.56,52.43
107年 11月,新竹縣,37.5,14.2,32.8,2.24,0.31,10.52,49.78
107年 11月,宜蘭縣,33.9,7.3,20.8,1.64,0.27,6.42,43.21
107年 11月,高雄市,89.6,28.6,69.8,4.17,0.46,18.3,73.7
107年 11月,臺南市,86.3,30.4,69.8,3.03,0.4,15.22,64.07
107年 11月,臺中市,82.9,19.6,43.3,2.46,0.44,17.19,60.4
107年 11月,桃園市,40.6,15.4,32.3,3.37,0.37,15.3,47.9
107年 11月,臺北市,22.5,8.1,27.8,2.11,0.41,18.15,45.26
107年 11月,新北市,30.3,10.9,28.3,2.3,0.36,13.21,47.92
107年 11月,總計,60.4,17.7,44.3,2.76,0.38,13.9,56.56
107年 10月,連江縣,    ...,16.6,48.3,2.47,0.25,3.85,80.58
107年 10月,金門縣,48.7,22.1,59.3,3.77,0.29,8.89,78.3
107年 10月,嘉義市,92,27.4,67.2,4.76,0.45,18.37,83.84
107年 10月,新竹市,58.4,13.5,36.6,2.11,0.33,    ...,60.77
107年 10月,基隆市,60.2,11.2,26.4,1.74,0.26,7.65,65.17
107年 10月,澎湖縣,47.4,14.3,36.7,1.72,0.21,2.11,75.65
107年 10月,花蓮縣,19.7,8.8,31.5,1.49,0.28,6.79,57.48
107年 10月,臺東縣,42,9.5,35.2,1.15,0.3,4.58,44.05
107年 10月,屏東縣,78.4,18.6,51,2.61,0.33,7.8,81.94
107年 10月,嘉義縣,88.5,22.9,74.7,3.1,0.33,9.92,79.75
107年 10月,雲林縣,87.3,27.4,58.8,3.04,0.34,12.05,82.89
107年 10月,南投縣,42.2,20.2,53.8,2.21,0.4,14.22,83.18
107年 10月,彰化縣,61,18.4,50.6,3.48,0.41,13.32,74.32
107年 10月,苗栗縣,39.3,14.3,42.6,2.62,0.29,8.99,63.77
107年 10月,新竹縣,29.8,11.9,35.5,2.05,0.27,8.01,61.39
107年 10月,宜蘭縣,33.9,8,30.4,1.62,0.26,5.88,58.7
107年 10月,高雄市,97.9,24.6,72,4.07,0.43,14.78,88.74
107年 10月,臺南市,82.5,25.4,71,3.25,0.38,13.09,82.14
107年 10月,臺中市,48.7,16.1,39.1,2.18,0.36,13.42,72.61
107年 10月,桃園市,44.9,13.4,37.9,3.29,0.35,13.5,61.55
107年 10月,臺北市,32.2,10.2,31.2,2,0.4,17.69,56.95
107年 10月,新北市,50,12.9,37.1,2.24,0.35,12.75,60.34
107年 10月,總計,60.3,16.6,48.1,2.72,0.35,12.12,71.25
107年 9月,連江縣,    ...,14.5,39.8,2.58,0.16,3.61,67.32
107年 9月,金門縣,66.2,18.5,44.7,3.08,0.21,7.55,65.92
107年 9月,嘉義市,39.6,15.4,44.5,3.23,0.31,10.54,61.39
107年 9月,新竹市,63,16.8,33.4,2.4,0.31,10.13,49.43
107年 9月,基隆市,29.3,11.6,22.7,2.05,0.22,8.19,51.48
107年 9月,澎湖縣,54,13.4,30.3,1.83,0.16,3.18,54.56
107年 9月,花蓮縣,32.8,7.8,25.7,1.57,0.17,3.63,33.57
107年 9月,臺東縣,22.6,7.5,32.8,1.21,0.23,3.57,27.34
107年 9月,屏東縣,43.1,11.6,30.6,2.23,0.22,5.88,59.2
107年 9月,嘉義縣,53.3,16,53.5,2.39,0.24,7.64,57.7
107年 9月,雲林縣,54,17.9,43.4,2.49,0.25,7.93,60.3
107年 9月,南投縣,35.6,19,36.9,2.02,0.28,8.84,60.58
107年 9月,彰化縣,44.3,19.3,46.3,3.45,0.31,9.07,57.41
107年 9月,苗栗縣,40.5,16.6,43.1,2.51,0.26,8.08,53.51
107年 9月,新竹縣,44.4,14.9,35.1,2.2,0.23,7.32,53.63
107年 9月,宜蘭縣,36.4,9,29.2,1.93,0.2,5.15,40.53
107年 9月,高雄市,38.7,14.2,43.7,3.46,0.3,10.38,61.94
107年 9月,臺南市,48.2,15.3,46.8,2.46,0.27,8.52,55.38
107年 9月,臺中市,47.6,18.2,37.6,2.47,0.31,11.08,57.78
107年 9月,桃園市,50.7,16,37.8,3.34,0.31,12.35,55
107年 9月,臺北市,32.2,11.4,28.1,2.22,0.36,14.72,52.83
107年 9月,新北市,46,13.1,31.9,2.56,0.31,11.56,54.28
107年 9月,總計,42.7,14.4,37.4,2.61,0.28,9.6,55.58
107年 8月,連江縣,    ...,12.8,32.8,2.84,0.15,3.91,58.85
107年 8月,金門縣,24.3,15.3,35.2,3.38,0.19,8.41,61.03
107年 8月,嘉義市,31.4,9.8,26.5,3.1,0.21,6.73,48.28
107年 8月,新竹市,41.2,12.6,22.1,2.26,0.34,11.39,46.71
107年 8月,基隆市,32.7,10.8,18.8,2.56,0.25,10.68,49.1
107年 8月,澎湖縣,28,8.6,17.7,2.24,0.18,4.62,43.49
107年 8月,花蓮縣,20.2,8.6,25.5,1.61,0.19,4.04,40.39
107年 8月,臺東縣,34.6,8.2,24.4,1.26,0.28,4.8,27.72
107年 8月,屏東縣,22.2,7,20.6,1.72,0.19,4.92,43.7
107年 8月,嘉義縣,31.4,10.7,34.6,2.19,0.22,7.06,45.44
107年 8月,雲林縣,13.5,9.8,23.6,2.02,0.21,6.06,49.5
107年 8月,南投縣,28.4,11.5,27.1,2.01,0.24,6.57,50.73
107年 8月,彰化縣,31.1,10.3,26.7,3.36,0.23,6.2,48
107年 8月,苗栗縣,36.1,11.3,35.6,2.31,0.24,7.33,52.11
107年 8月,新竹縣,37.6,11.6,29.6,2.37,0.24,8.91,51.86
107年 8月,宜蘭縣,26.5,10.3,28.4,2.7,0.24,6.47,46.34
107年 8月,高雄市,23.9,8.5,27.3,3.33,0.28,9.89,40.19
107年 8月,臺南市,24.3,9.3,26.5,2.17,0.24,7.23,41.45
107年 8月,臺中市,25.6,11.8,25.5,2.27,0.32,10.46,54.06
107年 8月,桃園市,27.9,13.8,32.2,3.61,0.32,13.34,57.85
107年 8月,臺北市,36.2,11.1,26.6,2.6,0.41,16.38,55.57
107年 8月,新北市,27.8,13.4,27,3.13,0.34,12.96,58.9
107年 8月,總計,28.4,10.8,27.2,2.68,0.28,9.65,49.86
107年 7月,連江縣,    ...,13.9,40.1,2.96,0.1,3.49,51.48
107年 7月,金門縣,40.4,13.8,33.5,3.3,0.14,6.71,51.84
107年 7月,嘉義市,23.7,14.1,33.4,3.21,0.2,6.94,52.51
107年 7月,新竹市,47.7,12.3,23.9,2.47,0.26,8.7,39.14
107年 7月,基隆市,34.4,10.6,19.1,2.31,0.19,8.44,39.34
107年 7月,澎湖縣,50,10.1,21.5,1.95,0.12,3.55,39.25
107年 7月,花蓮縣,25.6,9,25.8,1.93,0.16,4.13,30.6
107年 7月,臺東縣,31.8,7.3,24.7,1.28,0.23,4.68,23.01
107年 7月,屏東縣,32.2,9,25.7,2.05,0.18,5.4,46.53
107年 7月,嘉義縣,26.2,12.8,39.9,2.32,0.2,7.09,48.22
107年 7月,雲林縣,27.3,14.6,33.9,2.08,0.19,6.3,55.37
107年 7月,南投縣,41.6,14.5,31.4,2.21,0.23,7.07,54.36
107年 7月,彰化縣,38.8,15.3,36.9,3.68,0.2,5.9,46.3
107年 7月,苗栗縣,43.2,13.5,32,2.57,0.21,6.71,49.27
107年 7月,新竹縣,35.6,12.2,33,2.5,0.18,6.93,46.71
107年 7月,宜蘭縣,47.5,10.2,27,2.86,0.21,5.85,36.31
107年 7月,高雄市,44.8,10.8,32.1,3.2,0.24,9.48,44.21
107年 7月,臺南市,24.5,11.4,32.7,2.31,0.2,6.86,43.51
107年 7月,臺中市,39.6,14.6,32.3,2.72,0.29,10.29,53.88
107年 7月,桃園市,39.1,11.3,30.3,3.45,0.23,9.59,43.77
107年 7月,臺北市,34.8,9.4,24.7,2.37,0.32,12.23,36.76
107年 7月,新北市,43,10.7,24.6,2.69,0.25,9.27,40.53
107年 7月,總計,37,11.7,29.7,2.67,0.23,8.2,44.34
107年 6月,連江縣,    ...,13.9,35.8,2.57,0.16,2.74,65.49
107年 6月,金門縣,14.7,13.7,30,2.98,0.19,6.48,57.89
107年 6月,嘉義市,41.3,13.1,41,3.14,0.26,8.74,56.58
107年 6月,新竹市,45.2,14.1,23.9,1.7,0.31,12.14,48.61
107年 6月,基隆市,41.5,11.7,21.4,2.66,0.25,9.67,56.15
107年 6月,澎湖縣,39.8,11.1,21.2,1.8,0.18,3.87,49.72
107年 6月,花蓮縣,20.5,9.2,25,1.76,0.21,4.57,43.45
107年 6月,臺東縣,27.1,7.9,23,1.16,0.25,4.63,32.24
107年 6月,屏東縣,40.7,10.2,36.1,2.04,0.2,6.04,51.56
107年 6月,嘉義縣,44.1,14.8,50.5,2.63,0.23,7.88,54.84
107年 6月,雲林縣,33.3,15.1,43.7,2.46,0.24,8.04,61.86
107年 6月,南投縣,32.4,14.5,35.9,2.25,0.27,8.67,58.24
107年 6月,彰化縣,18,16.1,36.3,4.06,0.26,8.36,52.95
107年 6月,苗栗縣,39,13.8,28.2,2.49,0.23,8.22,56.01
107年 6月,新竹縣,34,13.3,29.5,2.14,0.22,8.11,51.93
107年 6月,宜蘭縣,22.1,10.7,26.8,2.21,0.25,5.5,45.79
107年 6月,高雄市,39.4,11.2,36.8,3.47,0.26,9.66,49.92
107年 6月,臺南市,38.3,12.8,40.9,2.57,0.25,8.16,49.36
107年 6月,臺中市,28.4,14.5,32,2.68,0.3,11.24,61.81
107年 6月,桃園市,39.1,13.3,32.5,3.74,0.3,12.19,54.11
107年 6月,臺北市,28.7,12,28.6,2.62,0.38,15.43,55.11
107年 6月,新北市,32.2,13.4,28.3,2.8,0.32,11.96,56.37
107年 6月,總計,33.9,12.7,32.9,2.75,0.27,9.67,53.89
107年 5月,連江縣,    ...,18.3,47.1,2.55,0.21,4.76,67.05
107年 5月,金門縣,45,18.1,41.8,3.46,0.19,8.02,57.98
107年 5月,嘉義市,53.3,14.1,45.4,3.53,0.28,9.53,56.27
107年 5月,新竹市,65.9,15.3,32.6,1.93,0.35,12.3,47.65
107年 5月,基隆市,57.3,16.6,28.9,3.38,0.31,12.54,67.04
107年 5月,澎湖縣,36.5,11.8,21.1,1.84,0.18,4.15,42.93
107年 5月,花蓮縣,35.8,10.4,29.1,1.73,0.22,4.63,40.91
107年 5月,臺東縣,51.4,9.2,25.6,1.31,0.28,4.83,31.86
107年 5月,屏東縣,44.4,11,38.1,2.17,0.2,6.37,50.96
107年 5月,嘉義縣,72.1,14.3,48.9,2.7,0.24,7.35,50.7
107年 5月,雲林縣,41.7,16.6,43.9,2.68,0.25,8.27,58.78
107年 5月,南投縣,37.2,17.5,41.9,2.26,0.26,10.33,59.05
107年 5月,彰化縣,47.6,15.6,41.4,4.08,0.26,8.73,46.86
107年 5月,苗栗縣,56.3,15.5,36.6,2.89,0.25,9.26,55.55
107年 5月,新竹縣,47,17,36.5,2.43,0.26,8.96,52.02
107年 5月,宜蘭縣,38.6,13.9,36.3,2.07,0.28,6.36,52.58
107年 5月,高雄市,39.6,12.3,38.7,3.91,0.23,9.01,48.4
107年 5月,臺南市,69.4,12.6,41.8,2.53,0.24,8.44,45.33
107年 5月,臺中市,36.5,16.7,38.4,2.84,0.33,12.43,59.1
107年 5月,桃園市,71.3,16.9,44.4,3.96,0.33,13.57,59.4
107年 5月,臺北市,42.6,16.1,41,3.61,0.45,18.74,67.01
107年 5月,新北市,58.3,18.4,40.4,3.85,0.38,14.88,66.12
107年 5月,總計,49.7,15,39.5,3.14,0.29,10.8,55.79
107年 4月,連江縣,    ...,29.5,71.3,2.65,0.29,7.31,70.6
107年 4月,金門縣,121.7,30.7,74.4,3.76,0.28,10.92,64.06
107年 4月,嘉義市,57.2,26,62.7,3.3,0.39,12.73,65.19
107年 4月,新竹市,51.6,24.8,50.4,1.84,0.43,15.61,63.17
107年 4月,基隆市,49.2,17.3,39.4,2.1,0.35,11.57,61.38
107年 4月,澎湖縣,140.2,19.7,43.5,1.67,0.25,3.69,56.13
107年 4月,花蓮縣,28.3,13.4,38.5,1.67,0.27,5.51,51.8
107年 4月,臺東縣,50.2,11.3,32.5,1.19,0.31,5.55,39.17
107年 4月,屏東縣,88,16.1,53.1,2.44,0.27,7.83,64.97
107年 4月,嘉義縣,59.5,26,77.1,3.07,0.33,9.49,65.03
107年 4月,雲林縣,52,29.3,64.8,3.07,0.33,10.42,70.38
107年 4月,南投縣,43,29.1,60.8,2.54,0.37,13.03,65.82
107年 4月,彰化縣,65.9,28.2,62,3.56,0.37,10.77,61.13
107年 4月,苗栗縣,42.1,25.4,52.6,2.56,0.34,10.48,64.93
107年 4月,新竹縣,44.2,24.8,56.3,2.75,0.35,11.14,64.77
107年 4月,宜蘭縣,54.1,15.4,49.8,1.75,0.31,6.94,54.74
107年 4月,高雄市,70,20.8,60.2,3.85,0.33,12.03,67.83
107年 4月,臺南市,70.1,22.8,65.3,2.82,0.34,10.87,59.27
107年 4月,臺中市,49,25.9,57.8,3.1,0.42,15.3,70.59
107年 4月,桃園市,70.3,24.2,60.9,3.94,0.44,17.65,64.4
107年 4月,臺北市,34.9,19.4,50.2,2.43,0.48,18.73,66.9
107年 4月,新北市,62,21.8,52.6,2.85,0.44,15.88,65.16
107年 4月,總計,57.8,22.5,57,2.92,0.37,12.74,64.52
107年 3月,連江縣,    ...,25.8,46.4,2.38,0.3,6.04,60.9
107年 3月,金門縣,90.6,31.4,62,3.52,0.34,13.34,59.75
107年 3月,嘉義市,93.4,37.2,67.6,3.26,0.46,15.93,70.06
107年 3月,新竹市,42.9,25.4,48,1.73,0.45,17.08,54.74
